Scene number,Start,End,Keywords,Description
0,00:00:00.000,00:28:36.120,"Nguyễn Hữu Cảnh,kênh Vĩnh Tế,Thoại Ngọc Hầu,An Giang,Nam Bộ,Lê Văn Việt,phương Nam,dòng sông,Nguyễn Văn Thoại,Lê Văn Duyệt,trấn Vĩnh Thanh,Châu Đốc,Tây Nam Bộ,đất cù lao,tướng Huỳnh Công Lý , Nguyễn Văn Tri cất quân đi đánh dẹp nội loạn,thời điểm Nguyễn Ánh giành thiên hạ,vua Minh Mạng ân thưởng Ngọc Đái,Đỗ Thị Toán thân mẫu,Nam Giang , Lưu Yên , Lưu Minh bảo hộ giúp vua đối phó,triều Nguyễn nên Lê Văn Duyệt xếp,phò chúa Nguyễn Ánh chống nhà Tây Sơn,Ngọc Hầu mà vùng biên viễn Kiên Giang,Lễ Thành Hầu Nguyễn Hữu Cảnh,bóng cột nền nơi tổ phụ dãi dầu tên Đạm giúp quân dương vật,Nguyễn Hữu Cảnh kéo quân,Nguyễn Hữu Cảnh kết quả,vua Chân Lạp quy hàng,Tổng Trắng,sách Đại Nam nhất thống chí ghi nhận,trấn thủ Vinh Thanh Á", 
1,00:00:00.000,00:00:10.000, ,"đất phương Nam, vùng đất nặng phù sa của chín nhánh sông Cử Long bồi đắp nên những nhà vườn cây tránh xum xuê, những cánh đồng lúa vàng trù phú yên vui và nguồn tôm cá dạt dào trong mạch sống đồng bằng châu thổ, nơi thấm đẫm huyền thoại ba trăm năm khẩn hoang mở đất và những người anh hùng đánh giặc, giữ nước, khí phách hiên ngang cùng những người dân hồn hậu, chất phác, trọng nghĩa, khinh tài làm nên một truyền thống văn hóa, văn minh sông nước mang đậm ngân sách đất và người phương Nam."
2,00:00:10.000,00:00:44.920,"vùng đất nặng phù sa,cánh đồng lúa vàng trù phú,sông Cửu Long,đồng bằng châu thổ","đất phương Nam, vùng đất nặng phù sa của chín nhánh sông Cử Long bồi đắp nên những nhà vườn cây tránh xum xuê, những cánh đồng lúa vàng trù phú yên vui và nguồn tôm cá dạt dào trong mạch sống đồng bằng châu thổ, nơi thấm đẫm huyền thoại ba trăm năm khẩn hoang mở đất và những người anh hùng đánh giặc, giữ nước, khí phách hiên ngang cùng những người dân hồn hậu, chất phác, trọng nghĩa, khinh tài làm nên một truyền thống văn hóa, văn minh sông nước mang đậm ngân sách đất và người phương Nam."
3,00:00:44.920,00:00:53.800,"vùng đất nặng phù sa,cánh đồng lúa vàng trù phú,sông Cửu Long,đồng bằng châu thổ","đất phương Nam, vùng đất nặng phù sa của chín nhánh sông Cử Long bồi đắp nên những nhà vườn cây tránh xum xuê, những cánh đồng lúa vàng trù phú yên vui và nguồn tôm cá dạt dào trong mạch sống đồng bằng châu thổ, nơi thấm đẫm huyền thoại ba trăm năm khẩn hoang mở đất và những người anh hùng đánh giặc, giữ nước, khí phách hiên ngang cùng những người dân hồn hậu, chất phác, trọng nghĩa, khinh tài làm nên một truyền thống văn hóa, văn minh sông nước mang đậm ngân sách đất và người phương Nam."
4,00:00:53.800,00:01:03.960,"vùng đất nặng phù sa,cánh đồng lúa vàng trù phú,sông Cửu Long,đồng bằng châu thổ,tôm cá","đất phương Nam, vùng đất nặng phù sa của chín nhánh sông Cử Long bồi đắp nên những nhà vườn cây tránh xum xuê, những cánh đồng lúa vàng trù phú yên vui và nguồn tôm cá dạt dào trong mạch sống đồng bằng châu thổ, nơi thấm đẫm huyền thoại ba trăm năm khẩn hoang mở đất và những người anh hùng đánh giặc, giữ nước, khí phách hiên ngang cùng những người dân hồn hậu, chất phác, trọng nghĩa, khinh tài làm nên một truyền thống văn hóa, văn minh sông nước mang đậm ngân sách đất và người phương Nam."
5,00:01:03.960,00:01:18.600,"thị đầu nguồn tỉnh An Giang,Việt Nam,Campuchia,sông Soài Rạp,Địa giới phía Nam,sông Châu Đốc,kênh Vĩnh Tế, Tiền Giang,tỉnh Long An,châu thổ sông Cửu Long,lãnh thổ Việt Nam,Thái Lan","Vùng đất này được giới hạn tương đối trong phạm vi của các dòng sông, kênh, rạch chảy trong lãnh thổ Việt Nam, Địa giới phía Nam của đồng bằng giáp với vịnh Thái Lan, phía Tây được bao bọc bởi sông Châu Đốc, kênh Vĩnh Tế và các dòng kênh nối ngang tại hai huyện, thị đầu nguồn tỉnh An Giang về phía Đông Bắc và Đông, lại được định vị bằng hàng loạt các dòng sông, kênh rạch liên thông chạy dọc theo triền biên giới Việt Nam Campuchia và sông Soài Rạp cùng phụ lưu của nó là ranh giới tự nhiên giữa hai tỉnh Long An, Tiền Giang với miền Đông Nam Bộ."
6,00:01:18.600,00:01:34.640, ,"Vùng đất này được giới hạn tương đối trong phạm vi của các dòng sông, kênh, rạch chảy trong lãnh thổ Việt Nam, Địa giới phía Nam của đồng bằng giáp với vịnh Thái Lan, phía Tây được bao bọc bởi sông Châu Đốc, kênh Vĩnh Tế và các dòng kênh nối ngang tại hai huyện, thị đầu nguồn tỉnh An Giang về phía Đông Bắc và Đông, lại được định vị bằng hàng loạt các dòng sông, kênh rạch liên thông chạy dọc theo triền biên giới Việt Nam Campuchia và sông Soài Rạp cùng phụ lưu của nó là ranh giới tự nhiên giữa hai tỉnh Long An, Tiền Giang với miền Đông Nam Bộ."
7,00:01:34.640,00:01:40.080, ,"Vùng đất này được giới hạn tương đối trong phạm vi của các dòng sông, kênh, rạch chảy trong lãnh thổ Việt Nam, Địa giới phía Nam của đồng bằng giáp với vịnh Thái Lan, phía Tây được bao bọc bởi sông Châu Đốc, kênh Vĩnh Tế và các dòng kênh nối ngang tại hai huyện, thị đầu nguồn tỉnh An Giang về phía Đông Bắc và Đông, lại được định vị bằng hàng loạt các dòng sông, kênh rạch liên thông chạy dọc theo triền biên giới Việt Nam Campuchia và sông Soài Rạp cùng phụ lưu của nó là ranh giới tự nhiên giữa hai tỉnh Long An, Tiền Giang với miền Đông Nam Bộ."
8,00:01:40.080,00:02:19.960,"thị đầu nguồn tỉnh An Giang,Việt Nam,Campuchia,sông Soài Rạp,Địa giới phía Nam,sông Châu Đốc,kênh Vĩnh Tế, Tiền Giang,tỉnh Long An,châu thổ sông Cửu Long,lãnh thổ Việt Nam,Thái Lan","Vùng đất này được giới hạn tương đối trong phạm vi của các dòng sông, kênh, rạch chảy trong lãnh thổ Việt Nam, Địa giới phía Nam của đồng bằng giáp với vịnh Thái Lan, phía Tây được bao bọc bởi sông Châu Đốc, kênh Vĩnh Tế và các dòng kênh nối ngang tại hai huyện, thị đầu nguồn tỉnh An Giang về phía Đông Bắc và Đông, lại được định vị bằng hàng loạt các dòng sông, kênh rạch liên thông chạy dọc theo triền biên giới Việt Nam Campuchia và sông Soài Rạp cùng phụ lưu của nó là ranh giới tự nhiên giữa hai tỉnh Long An, Tiền Giang với miền Đông Nam Bộ."
9,00:02:19.960,00:02:27.640,"thị đầu nguồn tỉnh An Giang,Việt Nam,Campuchia,sông Soài Rạp,Địa giới phía Nam,sông Châu Đốc,kênh Vĩnh Tế, Tiền Giang,tỉnh Long An,châu thổ sông Cửu Long,lãnh thổ Việt Nam,Thái Lan, chăn trâu","Vùng đất này được giới hạn tương đối trong phạm vi của các dòng sông, kênh, rạch chảy trong lãnh thổ Việt Nam, Địa giới phía Nam của đồng bằng giáp với vịnh Thái Lan, phía Tây được bao bọc bởi sông Châu Đốc, kênh Vĩnh Tế và các dòng kênh nối ngang tại hai huyện, thị đầu nguồn tỉnh An Giang về phía Đông Bắc và Đông, lại được định vị bằng hàng loạt các dòng sông, kênh rạch liên thông chạy dọc theo triền biên giới Việt Nam Campuchia và sông Soài Rạp cùng phụ lưu của nó là ranh giới tự nhiên giữa hai tỉnh Long An, Tiền Giang với miền Đông Nam Bộ."
10,00:02:27.640,00:02:36.360,"lưu dân người Việt,cuộc sống nhân dân,khu vực đồng bằng,tộc người bản địa,đặc trưng địa hình trũng,chăn trâu,đồng ruộng","trong hai thế kỷ 17 và 18, toàn bộ vùng đất Nam Bộ nói chung và Tây Nam Bộ nói riêng lần lượt được người Việt Nam xác lập chủ quyềnmặc dù sau này địa giới hành chính và cương vực lãnh thổ có những xây dựng, đổi thay nhất định, nhưng Tổ quốc chúng ta đã rõ ra một dáng dóc hình hài chữ S kéo dài từ đỉnh Hà Giang đến tận dụng đất mũi Cà Mau."
11,00:02:36.360,00:02:43.800,"lưu dân người Việt,cuộc sống nhân dân,khu vực đồng bằng,tộc người bản địa,đặc trưng địa hình trũng,chăn trâu,đồng ruộng","trong hai thế kỷ 17 và 18, toàn bộ vùng đất Nam Bộ nói chung và Tây Nam Bộ nói riêng lần lượt được người Việt Nam xác lập chủ quyềnmặc dù sau này địa giới hành chính và cương vực lãnh thổ có những xây dựng, đổi thay nhất định, nhưng Tổ quốc chúng ta đã rõ ra một dáng dóc hình hài chữ S kéo dài từ đỉnh Hà Giang đến tận dụng đất mũi Cà Mau."
12,00:02:43.800,00:02:50.760,"lưu dân người Việt,cuộc sống nhân dân,khu vực đồng bằng,tộc người bản địa,đặc trưng địa hình trũng,chăn trâu,đồng ruộng","trong hai thế kỷ 17 và 18, toàn bộ vùng đất Nam Bộ nói chung và Tây Nam Bộ nói riêng lần lượt được người Việt Nam xác lập chủ quyềnmặc dù sau này địa giới hành chính và cương vực lãnh thổ có những xây dựng, đổi thay nhất định, nhưng Tổ quốc chúng ta đã rõ ra một dáng dóc hình hài chữ S kéo dài từ đỉnh Hà Giang đến tận dụng đất mũi Cà Mau."
13,00:02:50.760,00:03:01.200,"lưu dân người Việt,cuộc sống nhân dân,khu vực đồng bằng,tộc người bản địa,đặc trưng địa hình trũng,chăn trâu,đồng ruộng","trong hai thế kỷ 17 và 18, toàn bộ vùng đất Nam Bộ nói chung và Tây Nam Bộ nói riêng lần lượt được người Việt Nam xác lập chủ quyềnmặc dù sau này địa giới hành chính và cương vực lãnh thổ có những xây dựng, đổi thay nhất định, nhưng Tổ quốc chúng ta đã rõ ra một dáng dóc hình hài chữ S kéo dài từ đỉnh Hà Giang đến tận dụng đất mũi Cà Mau."
14,00:03:01.200,00:03:06.560,"lưu dân người Việt,cuộc sống nhân dân,khu vực đồng bằng,tộc người bản địa,đặc trưng địa hình trũng,chăn trâu,đồng ruộng","trong hai thế kỷ 17 và 18, toàn bộ vùng đất Nam Bộ nói chung và Tây Nam Bộ nói riêng lần lượt được người Việt Nam xác lập chủ quyềnmặc dù sau này địa giới hành chính và cương vực lãnh thổ có những xây dựng, đổi thay nhất định, nhưng Tổ quốc chúng ta đã rõ ra một dáng dóc hình hài chữ S kéo dài từ đỉnh Hà Giang đến tận dụng đất mũi Cà Mau."
15,00:03:06.560,00:03:12.840,"lưu dân người Việt,cuộc sống nhân dân,khu vực đồng bằng,tộc người bản địa,đặc trưng địa hình trũng,chăn trâu,đồng ruộng","trong hai thế kỷ 17 và 18, toàn bộ vùng đất Nam Bộ nói chung và Tây Nam Bộ nói riêng lần lượt được người Việt Nam xác lập chủ quyềnmặc dù sau này địa giới hành chính và cương vực lãnh thổ có những xây dựng, đổi thay nhất định, nhưng Tổ quốc chúng ta đã rõ ra một dáng dóc hình hài chữ S kéo dài từ đỉnh Hà Giang đến tận dụng đất mũi Cà Mau."
