Scene number,Start,End,Keywords,Description
0,00:00:00.000,00:26:47.040,"Nam Bộ,miền Bắc,miền Trung,Tây Nam Bộ,vùng đất Tây Nam Bộ,phương Nam,thời điểm người miền Tây,cánh đồng,bến bờ Thái Bình Dương,tính cách người Nam Bộ,lưu dân Việt,Bạc Liêu xứ cơ cầu,thiên nhiên sông nước miền Tây lưu dân,thiên nhiên Tây Nam Bộ ban đầu,Sóc Trăng , Rạch Giá , Cà Mau,tôn Cột Sơn Quân Chi Thần Hổ Tông,khai phá vùng đất phương Nam gốc tích,Nam bộ Việt Nam lịch sử,vùng gia đình , chuyện hai anh em Bảy Giao Chính Quyền Nổ Đất Tàu Bến Tre Giai Thoại Ổn Định Thu Phục Cá Sấu Chèo Giai Thoại Loài Cá Sấu,Đại Nam Quốc Âm,Bến Tre , Long Hồ Mỹ Tho,dưới , Cần Giờ, Vĩnh Xiêm La,tuần bác , Trần Bao,đời vua Tự Đức chinh phục,Long Hồ , Thảo Điền ruộng trũng,Cái Mơn , Cái Nước , Cái Răng,tâm thức cộng đồng dân cư địa phương,nhà văn Nguyễn Văn Bổng,Lê Quý Đôn thống kê", 
1,00:00:00.000,00:00:10.000, ,"đất phương Nam, vùng đất nặng phù sa của chín nhánh sông Cử Long bồi đắp nên những nhà vườn cây tránh xum xuê, những cánh đồng lúa vàng trù phú yên vui và nguồn tôm cá dạt dào trong mạch sống đồng bằng châu thổ, nơi thấm đẫm huyền thoại ba trăm năm khẩn hoang mở đất và những người anh hùng đánh giặc, giữ nước, khí phách hiên ngang cùng những người dân hồn hậu, chất phác, trọng nghĩa, khinh tài làm nên một truyền thống văn hóa, văn minh sông nước mang đậm ngân sách đất và người phương Nam."
2,00:00:10.000,00:00:44.920,"sông Cửu Long,cánh đồng lúa vàng trù phú","đất phương Nam, vùng đất nặng phù sa của chín nhánh sông Cử Long bồi đắp nên những nhà vườn cây tránh xum xuê, những cánh đồng lúa vàng trù phú yên vui và nguồn tôm cá dạt dào trong mạch sống đồng bằng châu thổ, nơi thấm đẫm huyền thoại ba trăm năm khẩn hoang mở đất và những người anh hùng đánh giặc, giữ nước, khí phách hiên ngang cùng những người dân hồn hậu, chất phác, trọng nghĩa, khinh tài làm nên một truyền thống văn hóa, văn minh sông nước mang đậm ngân sách đất và người phương Nam."
3,00:00:44.920,00:00:53.800,"sông Cửu Long,đồng bằng châu thổ,vùng đất nặng phù sa","đất phương Nam, vùng đất nặng phù sa của chín nhánh sông Cử Long bồi đắp nên những nhà vườn cây tránh xum xuê, những cánh đồng lúa vàng trù phú yên vui và nguồn tôm cá dạt dào trong mạch sống đồng bằng châu thổ, nơi thấm đẫm huyền thoại ba trăm năm khẩn hoang mở đất và những người anh hùng đánh giặc, giữ nước, khí phách hiên ngang cùng những người dân hồn hậu, chất phác, trọng nghĩa, khinh tài làm nên một truyền thống văn hóa, văn minh sông nước mang đậm ngân sách đất và người phương Nam."
4,00:00:53.800,00:01:03.960,"sông Cửu Long,đồng bằng châu thổ,tôm cá","đất phương Nam, vùng đất nặng phù sa của chín nhánh sông Cử Long bồi đắp nên những nhà vườn cây tránh xum xuê, những cánh đồng lúa vàng trù phú yên vui và nguồn tôm cá dạt dào trong mạch sống đồng bằng châu thổ, nơi thấm đẫm huyền thoại ba trăm năm khẩn hoang mở đất và những người anh hùng đánh giặc, giữ nước, khí phách hiên ngang cùng những người dân hồn hậu, chất phác, trọng nghĩa, khinh tài làm nên một truyền thống văn hóa, văn minh sông nước mang đậm ngân sách đất và người phương Nam."
5,00:01:03.960,00:01:18.600,,"miền Tây dùng đất bồi chạy dọc theo những triền sông Tiền Kinh chảy ra từ dòng sông mẹ Cửu Long, để lại cả một trời thương nhớ cho những ai đã đến, chưa đến hoặc sẽ đến với xứ sở phương Nam này từ rất lâu rồi, người đời vẫn cứ mãi lưu truyền mang câu chuyện kỳ thú về một vùng đất trù phú sản vật thiên nhiên giàu có."
6,00:01:18.600,00:01:34.880, ,"miền Tây dùng đất bồi chạy dọc theo những triền sông Tiền Kinh chảy ra từ dòng sông mẹ Cửu Long, để lại cả một trời thương nhớ cho những ai đã đến, chưa đến hoặc sẽ đến với xứ sở phương Nam này từ rất lâu rồi, người đời vẫn cứ mãi lưu truyền mang câu chuyện kỳ thú về một vùng đất trù phú sản vật thiên nhiên giàu có."
7,00:01:34.880,00:01:45.160, ,"miền Tây dùng đất bồi chạy dọc theo những triền sông Tiền Kinh chảy ra từ dòng sông mẹ Cửu Long, để lại cả một trời thương nhớ cho những ai đã đến, chưa đến hoặc sẽ đến với xứ sở phương Nam này từ rất lâu rồi, người đời vẫn cứ mãi lưu truyền mang câu chuyện kỳ thú về một vùng đất trù phú sản vật thiên nhiên giàu có."
8,00:01:45.160,00:02:25.040,"sông Tiền,sông Cửu Long,miền Tây đất bồi,thiên nhiên tươi đẹp,xứ sở phương Nam,Đồng Tháp mười,Bạc Liêu","miền Tây dùng đất bồi chạy dọc theo những triền sông Tiền Kinh chảy ra từ dòng sông mẹ Cửu Long, để lại cả một trời thương nhớ cho những ai đã đến, chưa đến hoặc sẽ đến với xứ sở phương Nam này từ rất lâu rồi, người đời vẫn cứ mãi lưu truyền mang câu chuyện kỳ thú về một vùng đất trù phú sản vật thiên nhiên giàu có."
9,00:02:25.040,00:02:32.240,"sông Tiền,sông Cửu Long,miền Tây đất bồi,thiên nhiên tươi đẹp,xứ sở phương Nam,Đồng Tháp mười,Bạc Liêu","miền Tây dùng đất bồi chạy dọc theo những triền sông Tiền Kinh chảy ra từ dòng sông mẹ Cửu Long, để lại cả một trời thương nhớ cho những ai đã đến, chưa đến hoặc sẽ đến với xứ sở phương Nam này từ rất lâu rồi, người đời vẫn cứ mãi lưu truyền mang câu chuyện kỳ thú về một vùng đất trù phú sản vật thiên nhiên giàu có."
